Model,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Jeep Compass,"10,298","12,063","14,945","12,697","14,534","10,976","11,565","12,953","10,640","10,952","11,358","10,952"
Jeep Gladiator,-,70,43,314,"2,584","4,231","5,307","5,943","4,882","5,487","5,690","5,487"
Jeep Grand Cherokee,"15,075","18,009","24,665","20,469","25,394","19,660","20,318","22,757","18,693","19,074","19,781","19,074"
Jeep Patriot,6,3,1,2,-,1,3,3,2,2,2,2
Jeep Renegade,"4,860","5,909","7,449","5,740","6,001","6,077","6,985","7,823","6,426","6,459","6,698","6,459"
Jeep Wrangler,"13,024","15,001","21,963","22,422","24,530","20,055","19,419","21,750","17,866","17,126","17,760","17,126"
Kia Cadenza,151,113,147,117,105,130,75,126,92,153,184,184
Kia Forte,"5,955","6,953","8,466","7,336","10,366","9,337","9,172","9,420","6,280","6,980","7,709","7,709"
Kia K900,26,36,40,43,29,35,31,39,32,17,32,32
Kia Niro,"1,706","2,031","1,609","1,839","2,557","2,200","1,935","2,352","1,733","1,983","2,238","2,238"
Kia Optima,"5,853","7,212","9,603","8,411","8,300","11,090","8,732","9,259","7,206","7,248","6,568","6,568"
Kia Rio,"1,608","1,822","2,414","2,082","2,482","2,038","2,266","2,752","1,722","1,939","1,692","1,692"
Kia Sedona,"1,348","1,144","1,367","1,067","1,460","1,392","1,356","1,532",910,"1,341","1,463","1,463"
Kia Sorento,"6,726","7,386","9,507","7,473","8,356","7,570","8,256","9,160","7,766","8,533","7,899","7,899"
Kia Soul,"7,101","8,592","9,860","10,431","10,713","8,886","7,358","8,701","5,985","6,761","6,713","6,713"
Kia Sportage,"5,963","6,768","6,467","6,077","8,011","6,789","8,573","9,593","6,863","7,623","8,125","8,125"
Kia Stinger,939,"1,034","1,254",939,"1,410","1,345","1,092","1,422",981,"1,354","1,057","1,057"
Kia Telluride,-,315,"5,080","5,570","6,273","5,989","4,559","6,374","5,049","6,075","6,824","6,824"
Land Rover Discovery / LR4,819,"1,039","1,185",572,589,548,597,560,509,451,"1,081","1,234"
Land Rover Discovery Sport,912,"1,283","1,332",919,"1,013",908,789,541,841,"1,058","1,238","1,503"
Land Rover Range Rover,"1,651","1,539","1,798","1,577","1,448","1,209","1,307","1,435","1,539","1,553","1,767","2,008"
Land Rover Range Rover Evoque,646,708,698,867,"1,010",999,876,"1,014","1,069",907,"1,363","1,372"
Land Rover Range Rover Sport,"2,004","2,148","2,317","1,986","1,922","1,755","1,748","1,716","2,288","2,584","2,474","2,826"
Land Rover Range Rover Velar,"1,353","1,434","2,162","1,244","1,355","1,174","1,139","1,306","1,242","1,540","1,591","1,547"
Lexus ES,"3,144","3,324","4,922","3,499","4,741","4,350","4,960","5,636","3,320","3,870","4,545","5,025"
Lexus GS,298,263,394,301,260,214,305,342,193,222,321,265
Lexus GX,"1,508","1,630","2,291","1,786","1,809","1,947","2,094","2,604","1,707","2,161","3,188","3,220"
Lexus IS,"1,075","1,115","1,694","1,385","1,533","1,560","1,331","1,363",844,843,"1,006","1,171"
Lexus LC,90,89,141,122,137,89,96,84,80,91,86,114
Lexus LFA,3,-,-,-,-,-,-,-,-,-,-,-
Lexus LS,508,439,457,474,462,357,396,509,346,468,529,583
Lexus LX,251,411,552,404,369,322,333,444,247,391,432,562
Lexus NX,"3,982","4,160","5,633","4,241","4,612","4,248","4,423","5,138","3,637","4,266","6,420","7,955"
Lexus RC,262,279,422,353,412,381,437,482,334,351,450,428
Lexus RX,"5,508","7,054","10,967","7,522","8,782","8,228","9,247","11,700","7,162","9,271","11,526","14,069"
Lexus UX,791,"1,358","1,776","1,273","1,420","1,351","1,403","1,629",990,"1,209","1,590","1,933"
Lincoln Aviator,-,-,-,-,-,-,625,700,575,"2,115","2,193","2,116"
Lincoln Continental,446,428,481,484,559,447,624,699,574,608,630,607
Lincoln MKC,"1,904","1,827","2,056","1,936","2,234","1,787","2,146","2,403","1,974","2,486","2,577","2,486"
Lincoln MKT,409,392,441,405,467,374,206,230,189,91,93,91
Lincoln MKX/Nautilus,"2,477","2,474","2,783","2,661","3,070","2,456","2,619","2,933","2,410","2,545","2,638","2,544"
Lincoln MKZ,"1,410","1,354","1,523","1,519","1,753","1,402","1,541","1,726","1,418","1,344","1,393","1,343"
Lincoln Navigator,"1,470","1,411","1,588","1,426","1,645","1,316","1,429","1,601","1,315","1,796","1,862","1,797"
Mazda 3,"4,596","4,610","6,009","4,351","4,967","3,990","3,651","4,825","3,507","3,481","3,579","3,175"
Mazda 6,"1,619","1,906","3,396","2,340","2,133","1,681","1,483","1,608","1,119","1,095","1,514","1,630"
Mazda CX-3,971,"1,081","1,201","1,019","1,188","1,324","1,523","2,024","1,449","1,386","1,654","1,409"
Mazda CX-30,-,-,-,-,-,-,-,-,-,-,31,868
Mazda CX-5,"10,652","13,377","13,465","9,592","14,057","13,242","13,391","15,592","10,332","10,970","14,139","15,734"
Mazda CX-9,"1,860","2,422","2,136","1,618","2,004","1,832","2,135","2,617","1,919","2,094","2,988","3,236"
Mazda MX-5 Miata,347,456,727,782,843,759,"1,109",816,512,494,469,439
Mercedes-Benz A-Class,-,-,890,804,804,"2,015","2,619","2,308","2,303","1,491","1,544","1,166"
Mercedes-Benz AMG GT,83,134,427,340,340,374,325,338,347,361,534,445
Mercedes-Benz B-Class,1,2,-,1,1,2,1,1,-,1,-,-
Mercedes-Benz C-Class,"4,676","4,812","5,514","4,054","4,054","3,951","3,449","3,315","4,073","3,096","4,469","3,412"
Mercedes-Benz CLA-Class,"2,278","1,566","1,366",986,986,573,609,118,623,"1,122","1,641","1,344"
Mercedes-Benz E / CLS-Class,"3,258","3,424","3,712","3,372","3,372","3,346","2,750","2,892","3,523","3,177","3,689","3,343"
Mercedes-Benz G-Class,427,"1,165",701,546,546,487,501,373,374,156,-,816
Mercedes-Benz GL/GLS-Class,"2,007","1,587","2,423","1,678","1,678",904,870,"1,142","1,798","2,733","2,893","2,902"
Mercedes-Benz GLA-Class,"1,603","1,247","1,871","1,770","1,770","1,715","1,450","1,405","1,678","2,448","2,461","2,096"
Mercedes-Benz GLB,-,-,-,-,-,-,-,-,-,-,-,"1,173"
Mercedes-Benz GLC/GLK-Class,"4,908","4,176","6,282","5,378","5,378","6,568","5,539","6,336","6,840","7,083","7,515","6,436"
Mercedes-Benz GLE-Class,"2,142","2,197","2,196","2,566","2,566","4,843","5,301","5,370","4,862","4,782","6,052","5,787"
Mercedes-Benz Metris,267,601,"1,111",671,810,"1,000",864,"1,612","1,370","1,279",886,"1,247"
Mercedes-Benz S-Class,886,"1,061","1,204",958,958,"1,063",919,926,778,"1,211","1,452","1,087"
Mercedes-Benz SL-Class,116,136,184,193,193,207,119,127,159,117,100,140
Mercedes-Benz SLC-Class,122,153,234,303,303,148,160,120,75,89,62,147
Mercedes-Benz Sprinter,947,"2,128","2,442","2,011","1,872","2,005","2,014","3,761","3,199","2,984","2,656","3,738"
Mini Cooper,"1,586","1,681","2,442","1,741","1,682","2,066","1,842","1,967","1,807","1,786","1,909","1,614"
Mini Countryman,871,998,"1,327",880,"1,140","1,169",985,"1,944","1,698","1,176","1,158",696
Mitsubishi Eclipse Cross,"1,563","4,291","3,143",920,"1,012","1,662",811,973,"1,484","1,046","1,336","1,420"
Mitsubishi Lancer,-,-,3,-,-,-,-,-,-,-,-,-
Mitsubishi Mirage,"1,570","1,792","2,880","2,004","2,150","2,505","3,256","2,824","2,196","2,135","1,901","1,753"
Mitsubishi Montero Sport,-,-,-,-,-,-,-,"2,404","2,301",-,"2,795",-
Mitsubishi Outlander,"2,346","3,471","7,923","2,408","3,840","5,601","1,656","1,661","1,565","1,733","1,784","3,977"
Mitsubishi Outlander PHEV,133,157,341,163,232,222,213,277,176,255,372,269
Mitsubishi Outlander Sport,"3,099","4,049","5,309","1,468","2,516","2,327","2,677",-,-,"2,203",-,"2,496"
Nissan 370Z,173,211,263,177,198,230,226,214,161,214,159,158
Nissan Altima,"12,189","16,216","23,075","16,531","24,218","16,548","11,236","22,403","17,553","13,531","16,551","19,132"
Nissan Armada,"2,202","3,190","4,409","1,917","4,490","2,505","1,673","1,716","2,507","2,714","1,754","2,967"
Nissan Frontier,"6,062","6,291","7,868","4,258","7,497","7,346","5,641","5,888","3,835","8,031","4,932","4,720"
Nissan GT-R,19,25,49,33,18,30,27,41,31,25,16,17
Nissan Juke,3,2,4,1,-,-,-,-,-,1,-,-
Nissan Kicks,"3,812","3,563","5,144","3,503","6,005","7,236","6,576","7,058","4,177","3,362","3,634","4,123"
Nissan Leaf,717,654,"1,314",951,"1,216","1,156",938,"1,117","1,048",887,"1,140","1,227"
Nissan Maxima,"3,457","3,504","3,593","2,009","2,153","2,079","2,124","3,548","3,732","3,217","2,273","3,387"
Nissan Murano,"4,080","3,412","4,237","3,476","5,634","5,133","6,454","9,462","8,460","7,477","5,349","5,187"
Nissan NV,"1,263","1,439","1,805","1,494","1,829","1,706","1,776","2,503","1,861","1,312","1,315","1,719"
Nissan NV200,"1,313","1,265","2,077","1,735","1,825","1,737","1,599","1,444","1,316","1,532","1,463","1,462"
Nissan Pathfinder,"5,268","4,860","7,226","4,713","7,751","6,494","4,686","4,223","4,121","5,636","4,819","5,894"
Nissan Quest,-,-,-,-,-,-,-,-,-,-,-,-
Nissan Rogue,"26,113","31,899","35,802","24,159","28,600","28,694","25,955","41,629","29,449","27,082","23,734","27,331"
Nissan Sentra,"14,088","17,072","25,633","13,051","18,831","21,224","16,365","11,393","10,493","13,889","11,546","11,033"
Nissan Titan,"3,031","2,722","3,930","2,489","3,189","2,665","2,242","2,589","2,555","2,134","2,052","1,916"
Nissan Versa,"6,649","7,410","10,933","6,710","8,116","8,882","2,702","2,817","2,914","3,373","2,825","3,265"
Porsche 718,263,163,239,612,456,422,438,339,271,239,247,191
Porsche 911,"1,101",990,803,655,613,458,408,382,911,"1,302",979,663
Porsche Cayenne,"2,150","1,762","1,647","1,645","1,680","1,147","1,334","1,454","1,512","1,216","1,972","1,482"
Porsche Macan,"1,418","1,403","1,387","1,114","1,740","2,649","2,300","2,038","2,142","2,330","2,471","1,675"
Porsche Panamera,487,508,703,992,521,529,476,423,377,360,657,592
Porsche Taycan,-,-,-,-,-,-,-,-,-,-,-,130
Ram Pickup,"34,889","39,950","45,187","49,106","62,250","68,098","53,169","59,550","48,916","56,825","58,929","56,825"
Ram ProMaster,"3,759","4,632","4,928","3,805","3,651","5,937","4,799","5,375","4,415","4,975","5,159","4,975"
Ram ProMaster City,"1,001",960,"1,707",900,"1,216","1,192",979,"1,096",901,977,"1,013",977
Smart ForTwo,83,58,90,85,85,74,56,74,-,-,-,-
Subaru Ascent,"4,981","6,160","7,932","6,512","7,509","7,014","7,296","7,319","5,319","6,091","7,545","8,280"
Subaru BRZ,259,242,318,287,231,203,167,158,111,112,115,131
Subaru CrossTrek,"8,236","8,257","9,704","9,319","11,551","11,392","12,283","15,860","11,895","12,137","10,378","10,140"
Subaru Forester,"13,318","13,133","14,205","14,782","16,028","14,753","14,731","17,076","13,421","15,910","16,386","16,436"
Subaru Impreza,"4,183","4,291","5,305","4,819","5,532","5,558","6,225","7,519","5,861","5,696","5,686","5,740"
Subaru Impreza WRX,"1,751","1,987","2,465","2,197","2,110","1,864","1,732","1,876","1,385","1,409","1,501","1,561"
Subaru Legacy,"2,403","2,683","3,133","2,991","2,994","3,222","3,244","3,121","2,386","2,670","2,801","3,415"
Subaru Outback,"10,941","12,328","18,539","16,381","18,017","17,505","18,428","17,110","11,281","11,506","12,481","16,661"
Tesla Model 3,"6,500","5,750","10,175","10,050","13,950","20,550","13,450","13,150","20,250","15,566","16,143","15,566"
Tesla Model S,875,800,"2,275",825,"1,025","1,750",975,"1,050","1,100","1,235","1,280","1,235"
Tesla Model X,950,"1,100","2,175","1,050","1,375","2,725","1,225","1,825","1,675","1,811","1,878","1,811"
Toyota 4Runner,"10,335","9,984","12,510","10,055","10,351","9,638","10,087","13,258","9,478","12,248","12,391","11,529"
Toyota 86 / FR-S,256,231,320,268,327,259,300,345,211,298,307,276
Toyota Avalon,"1,858","1,906","2,855","2,372","3,250","2,616","2,705","3,064","1,827","1,755","1,715","1,844"
Toyota C-HR,"4,102","4,743","5,676","3,656","3,994","3,640","3,591","4,935","3,440","3,900","3,950","3,303"
Toyota Camry,"23,802","24,267","33,615","29,227","36,208","28,889","27,134","31,986","23,328","26,602","25,611","26,309"
Toyota Corolla,"25,113","29,016","24,479","19,679","25,712","28,869","30,635","30,121","20,354","22,378","24,752","23,742"
Toyota FJ Cruiser,-,-,-,-,1,-,-,-,-,-,-,-
Toyota Highlander,"14,413","17,384","20,824","17,190","21,548","19,824","22,328","28,364","18,294","18,857","19,962","20,449"
Toyota Land Cruiser,114,369,324,253,296,272,249,283,226,418,372,360
Toyota Mirai,77,94,176,202,248,166,126,98,62,89,98,66
Toyota Prius Family,"2,987","3,661","5,410","4,799","6,615","5,769","6,592","8,261","6,164","6,679","6,723","6,058"
Toyota RAV4,"24,505","26,149","33,166","34,139","43,499","39,152","39,645","49,481","34,886","37,499","44,665","41,282"
Toyota Sequoia,726,841,843,592,793,769,"1,041","1,122",856,915,915,876
Toyota Sienna,"4,979","5,286","8,351","6,951","8,353","7,163","6,552","6,172","4,438","4,801","5,363","5,176"
Toyota Supra,-,-,-,-,-,-,320,643,514,516,487,404
Toyota Tacoma,"16,852","18,533","22,798","20,375","22,832","20,476","20,416","27,010","18,330","19,725","20,727","20,727"
Toyota Tundra,"7,159","7,590","10,351","8,862","10,657","9,878","11,088","12,427","8,050","8,081","8,816","8,714"
Toyota Venza,-,-,1,1,-,-,-,2,5,-,-,-
Toyota Yaris,"1,323","2,572","3,999","3,885","2,953","1,925","1,370",831,333,883,910,932
Volkswagen Arteon,-,-,-,78,245,275,252,329,304,366,317,283
Volkswagen Atlas,"3,803","4,795","7,381","6,050","8,273","7,424","7,688","8,227","6,064","6,647","7,756","7,400"
Volkswagen Beetle,971,"1,457","2,027","1,566","1,691","1,686","2,224","1,916","1,208",967,790,712
Volkswagen CC,9,4,9,5,6,5,6,3,3,2,4,2
Volkswagen Golf,"1,774","2,070","3,942","3,682","3,834","3,656","3,330","3,808","2,917","2,963","2,753","2,664"
Volkswagen Jetta,"6,875","7,109","9,105","7,745","9,653","8,486","8,086","9,592","8,090","8,582","8,966","8,164"
Volkswagen Passat,"2,899","2,097","2,762","1,607","1,294",797,628,572,314,211,228,714
Volkswagen Tiguan,"6,705","8,145","11,847","10,564","10,692","9,378","8,968","10,958","8,039","8,333","8,403","7,931"
Volkswagen Touareg,38,29,19,12,14,18,6,7,8,1,1,7
Volvo 60-Series,"1,400","1,058","1,501","1,259","1,767","1,989","1,309","1,456","1,951","2,550","1,933","2,017"
Volvo 90-Series,514,367,346,333,206,226,212,141,"1,094",204,191,218
Volvo XC40,"1,042",985,"1,550","1,824","1,715","1,437","2,072","1,501","1,090","1,048","1,404","1,979"
Volvo XC60,"1,471","2,229","2,936","2,251","2,872","2,807","2,426","2,926","2,253","2,285","2,585","3,537"
Volvo XC90,"1,427","1,996","3,236","2,700","3,201","3,475","2,776","3,163","2,935","2,720","3,522","4,609"
